vsx,objectId,CV_probability_RS_12,CV_probability_RS_24,CV_probability_RS_32,CV_probability_RS_42,CV_probability_RS_58,CV_probability_RS_12_1,finkclass,number_of_files,common_in_files
,ZTF18aczdnsx,0.9944564,0.99272925,0.997726,0.98989993,0.9942267,0.998467,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adaiwkf,0.96060765,0.9677126,0.95640224,0.94205534,0.96451133,0.9906316,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adakztt,0.999044,0.99853575,0.99691796,0.9970788,0.99812,0.9874493,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adalbvx,0.9991559,0.9976816,0.9982685,0.99410546,0.9997718,0.96242654,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adatlhb,0.9832759,0.9972,0.9845993,0.9903026,0.9978867,0.9958747,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adaygsx,0.997101,0.9943552,0.99745995,0.98017156,0.9957386,0.99734604,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adfapdv,0.9965404,0.98431593,0.9949143,0.90865564,0.9972778,0.9551932,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adfbgai,0.9962353,0.98581946,0.9922517,0.910505,0.99742174,0.9551932,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adjcgck,0.9991823,0.9978835,0.9965938,0.99282235,0.9977576,0.99242264,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adjrnpa,0.9911588,0.9950966,0.982014,0.9970035,0.99880123,0.9953725,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adkgpbo,0.9974783,0.98824686,0.99761885,0.99771935,0.99917775,0.9988519,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adkmwel,0.97290784,0.99684167,0.9970987,0.96176285,0.99410784,0.9964709,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adlmpkc,0.993725,0.98938704,0.9685741,0.99640405,0.9236021,0.99738914,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18admcqem,0.9911867,0.9864956,0.97368646,0.9817647,0.9880386,0.9798242,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18admeghs,0.99916375,0.9982405,0.99350375,0.99321425,0.9988194,0.9970831,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18admesgz,0.99740607,0.9954218,0.98603654,0.9781701,0.9980862,0.9785437,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18admftfr,0.98314947,0.99713755,0.9964232,0.9869511,0.9980375,0.9863707,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18admgyam,0.9891516,0.99790144,0.99916327,0.9404594,0.9990422,0.9969842,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18admkrak,0.997542,0.9805956,0.9970981,0.909748,0.99756634,0.96607924,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18admqnex,0.9985917,0.99476826,0.995948,0.99504143,0.9987418,0.9937065,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18admsenf,0.9166363,0.9812912,0.98452604,0.9890643,0.9697688,0.97894806,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18admvlto,0.9822374,0.992488,0.9980149,0.9426686,0.9964418,0.9551418,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adnclwb,0.9982917,0.99909174,0.9983558,0.99772507,0.99986756,0.9942194,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adnjjcs,0.9992053,0.9972548,0.9973028,0.9861243,0.9986848,0.99659497,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adonnra,0.9987056,0.99846077,0.99683136,0.9975249,0.9995426,0.9989518,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adorebv,0.99963844,0.9989518,0.9990908,0.9992073,0.99988246,0.9997044,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF18adppazu,0.9994497,0.9975599,0.9986828,0.99493104,0.999579,0.99799097,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aaacbdv,0.99955684,0.99770135,0.999,0.9972403,0.9985965,0.99940634,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aaacqaf,0.9797891,0.99514574,0.9843017,0.97543067,0.9993482,0.9645027,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aaacqia,0.9797891,0.99514574,0.9843017,0.97543067,0.9993482,0.9645027,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aaahqdl,0.9444918,0.9891668,0.9854506,0.97117394,0.951068,0.95676297,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aaahqmv,0.97528243,0.99878305,0.99893516,0.9975406,0.99385625,0.99217707,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aaaofsw,0.99029434,0.99848783,0.9984731,0.99171585,0.973598,0.99142355,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aaapgpe,0.9836332,0.9924091,0.997554,0.974578,0.998885,0.9381406,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aabgfjp,0.9676884,0.98007685,0.97751594,0.99273646,0.991098,0.98730403,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aachvbn,0.9989586,0.9981294,0.99963236,0.9971336,0.99970067,0.9992237,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aacsgha,0.9987508,0.9984276,0.996564,0.994338,0.99914277,0.99712163,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aadoqcb,0.9913667,0.99860746,0.99872345,0.99586546,0.9877415,0.9990336,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aadqmrg,0.99909127,0.99740976,0.998273,0.9896297,0.9996432,0.977949,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aadunlb,0.9982717,0.9970427,0.9969008,0.99498427,0.99963593,0.9992644,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aaedvik,0.9998362,0.9888058,0.9732406,0.9635115,0.9992772,0.9530877,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aaeqsrf,0.994803,0.9965599,0.95697045,0.99115455,0.9985567,0.9993611,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aaeroeh,0.9706624,0.99432135,0.99908674,0.9837457,0.9981177,0.9736212,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aaeskex,0.99963284,0.998461,0.9995586,0.9973385,0.9996082,0.9931486,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aafmmeb,0.9973362,0.995557,0.9946221,0.97727776,0.99932075,0.9873377,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aagmvuk,0.9924786,0.99286157,0.9890693,0.9917337,0.99873763,0.98112446,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aakprrp,0.96329325,0.993814,0.97920704,0.9876203,0.92232484,0.9211411,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aakuyyr,0.99837756,0.9815105,0.9821571,0.97765356,0.9971827,0.972697,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aamkclz,0.9836506,0.9924108,0.976344,0.9796418,0.9712163,0.982537,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aamkwxk,0.9917603,0.9806966,0.9984971,0.9663903,0.99818015,0.99361366,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aamoeji,0.9836506,0.9924108,0.976344,0.9796418,0.9712163,0.982537,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aamucga,0.9764084,0.9169129,0.9793241,0.94464815,0.93166465,0.98116654,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aanjxoz,0.99206674,0.97824085,0.9976179,0.9982145,0.99170905,0.98655057,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aanpgdw,0.9663255,0.9753073,0.9936506,0.90826476,0.9966247,0.9482241,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aaoigbf,0.9470038,0.97824794,0.9769333,0.9484338,0.98980343,0.90682095,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aapwyle,0.9994068,0.99949074,0.99972636,0.99617565,0.99953616,0.99925965,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aapzxlt,0.9898177,0.99546957,0.99912256,0.99765116,0.998665,0.98714983,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aaqrodb,0.9979907,0.9978993,0.99497664,0.978716,0.9876167,0.9642789,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aartouv,0.9794971,0.9680503,0.9623041,0.96540123,0.95939356,0.9770831,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aaxlgcg,0.99963415,0.9970885,0.99866116,0.99567235,0.9996933,0.99637467,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19abannla,0.9779313,0.9926965,0.99542904,0.9875251,0.964821,0.99534285,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19abfjxjp,0.9287216,0.933171,0.9267245,0.9815236,0.96216416,0.9896185,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19ablfrnj,0.98274684,0.99848586,0.9924217,0.99943906,0.99218905,0.9982855,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19aboqsrp,0.9735901,0.9916408,0.9966988,0.9901586,0.9928981,0.99602354,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19acbopbm,0.9539527,0.99471384,0.9987276,0.9957087,0.9955592,0.9915656,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19accsxgq,0.99070054,0.9972825,0.9962446,0.9950334,0.9934557,0.9916648,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19acdtios,0.9787248,0.9794638,0.9897287,0.9891857,0.96711826,0.97966534,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19acecitx,0.99047405,0.99319965,0.9978098,0.99754685,0.9940135,0.99877065,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19acucdzz,0.99668473,0.989569,0.9885634,0.99819297,0.98994935,0.99822026,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19acvekcm,0.984704,0.9926823,0.9770563,0.9617844,0.99888736,0.9805909,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19adgjzde,0.98726594,0.9751508,0.9624975,0.99198157,0.9623163,0.9936085,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19adhsqoa,0.9803279,0.9625208,0.99035627,0.97347087,0.9810766,0.95632344,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF19admczfn,0.99963284,0.998461,0.9995586,0.9973385,0.9996082,0.9931486,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20aadcahx,0.9669038,0.98305905,0.9935136,0.9975171,0.9940363,0.99653035,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20aaklbiy,0.9522987,0.9964104,0.9962289,0.9931076,0.99524045,0.98595804,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20aanpusd,0.95516807,0.9944885,0.97672766,0.99418914,0.9650163,0.98743224,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20aaoncsx,0.9393486,0.9852018,0.9672725,0.9900012,0.98747396,0.98310363,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20aaqberk,0.96605074,0.97923344,0.987874,0.9717975,0.9719676,0.97897524,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20aavbkpx,0.92117053,0.95859236,0.9580978,0.93638396,0.9660076,0.95406437,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20aavgdop,0.9997632,0.9974567,0.9946431,0.99868685,0.9996418,0.99042565,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20aazpfdg,0.9936686,0.9219542,0.99551636,0.97281635,0.9940633,0.9974832,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20abbdcrp,0.9984913,0.9956571,0.9810947,0.98976445,0.9926852,0.9915234,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20abeojwu,0.91312426,0.9581977,0.90829724,0.9489899,0.95329696,0.9103311,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20achuhyl,0.9729432,0.90464425,0.9776047,0.99095833,0.9708119,0.99391645,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20acrprne,0.9981187,0.99390864,0.99465287,0.9834736,0.9986687,0.978462,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20acvfwun,0.9502659,0.9361946,0.9274537,0.99179256,0.91219807,0.9896583,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20adbxgzv,0.9995316,0.9988042,0.9990589,0.99785763,0.998425,0.9987857,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF20adcaqij,0.9820327,0.99258864,0.9983834,0.98957473,0.9960395,0.9800377,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF21aaejdkz,0.98690295,0.99054784,0.9835091,0.9924986,0.99060625,0.99643517,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF21aaeztlf,0.99516284,0.9770973,0.9966556,0.9797687,0.99396706,0.95599437,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF21aagkfcx,0.9982955,0.98981184,0.9955402,0.9704503,0.9965077,0.9824582,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF21abcnrfv,0.9612379,0.9634034,0.9967439,0.98510426,0.96303725,0.99312544,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF21abihefw,0.9967083,0.99699163,0.98300594,0.976198,0.9986461,0.92043763,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF21abkkiam,0.9996045,0.9994498,0.9981206,0.9990783,0.9998698,0.9976374,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF21accichu,0.9013591,0.95859236,0.9777736,0.94983584,0.9804832,0.97713816,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF21acljmhb,0.9796117,0.9963085,0.99425596,0.995275,0.98198396,0.99458474,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF21acovods,0.99866676,0.99635196,0.9965485,0.9988827,0.999328,0.998478,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF22aagnmun,0.96934366,0.98684746,0.9876766,0.9979096,0.98760974,0.9863538,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF22aaodplj,0.9964168,0.9282772,0.9909147,0.9352288,0.9949352,0.96284467,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF22aatikkr,0.9996257,0.99830246,0.98964334,0.9926771,0.9994838,0.9523829,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF22abclaoq,0.97787935,0.9959556,0.9964831,0.9958663,0.9711546,0.99433523,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF22abeouso,0.99833304,0.9740622,0.9977458,0.9915314,0.99919647,0.9979342,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF23aaifxto,0.99466586,0.9788164,0.99826497,0.9966114,0.9511752,0.9745486,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF23aamnbvb,0.9979778,0.95752996,0.98998475,0.99496186,0.9983834,0.9863303,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF23abemsxc,0.919214,0.96964943,0.9825952,0.9913271,0.9720909,0.9860843,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF23abpqhpr,0.995526,0.9821846,0.990986,0.9834374,0.9716006,0.9615316,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF23abupmxg,0.9152328,0.9840567,0.9805094,0.98015034,0.99075526,0.98094463,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF24aajpkog,0.9747604,0.9740509,0.988472,0.9593605,0.9220244,0.99507684,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF24abbtdws,0.924282,0.98849946,0.99395365,0.99341834,0.9473316,0.9955188,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF24abvzhxj,0.995469,0.9937249,0.9976057,0.99551743,0.9981834,0.99814665,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF24abyucsd,0.99985504,0.9993175,0.99971646,0.9991805,0.9999565,0.99683315,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF25aaapxey,0.9989586,0.9981294,0.99963236,0.9971336,0.99970067,0.9992237,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF25aaguzft,0.9961887,0.9972378,0.99553406,0.9981179,0.9911833,0.9987436,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF25aagvjel,0.9107931,0.9878228,0.97284013,0.9924005,0.9311846,0.99531233,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF25abungcd,0.9994862,0.9991412,0.9989397,0.99788207,0.9998517,0.9953793,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF26aaaelef,0.9665532,0.9912354,0.99278957,0.99365145,0.99729055,0.9974354,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
,ZTF26aaajqnu,0.9945364,0.9984195,0.9983771,0.9781205,0.99917716,0.99474984,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
